Sno,Htno,Subcode,Subname,Internals,Grade,Credits
1,18JD1A0211,R1621021,ELECTRICAL CIRCUIT ANALYSIS - II,21,ABSENT,0
2,18JD1A0443,R1621045,RANDOM VARIABLES AND STOCHASTIC PROCESS,20,F,0
3,18JD1A0444,R1621045,RANDOM VARIABLES AND STOCHASTIC PROCESS,18,C,3
4,18JD1A0485,R1621042,SWITCHING THEORY AND LOGIC DESIGN,10,F,0
5,18JD1A0509,R1621053,DIGITAL LOGIC DESIGN,24,F,0
6,18JD1A0509,R1621054,PYTHON PROGRAMMING,21,F,0
7,19JD1A0439,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,F,0
8,19JD1A0441,R1921043,SIGNALS AND SYSTEMS,16,D,3
9,19JD1A0461,R1921043,SIGNALS AND SYSTEMS,17,ABSENT,0
10,19JD1A0461,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,ABSENT,0
11,20JD1A0408,R2021011,MATHEMATICS-III,20,ABSENT,0
12,20JD1A0408,R2021042,SWITCHING THEORY AND LOGIC DESIGN,14,ABSENT,0
13,20JD1A0459,R2021042,SWITCHING THEORY AND LOGIC DESIGN,14,F,0
14,20JD1A0459,R2021043,SIGNALS AND SYSTEMS,16,F,0
15,20JD1A0504,R2021011,MATHEMATICS-III,18,F,0
16,20JD1A0579,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,16,E,3
17,20JD1A4508,R2021011,MATHEMATICS-III,13,F,0
18,21JD1A0202,R2021021,MATHEMATICS-IV,23,F,0
19,21JD1A0303,R2021011,MATHEMATICS-III,18,F,0
20,21JD1A0303,R2021031,MECHANICS OF SOLIDS,17,F,0
21,21JD1A0303,R2021032,FLUID MECHANICS & HYDRAULIC MACHINES,18,F,0
22,21JD1A0303,R2021034,KINEMATICS OF MACHINERY,17,F,0
23,21JD1A0305,R2021011,MATHEMATICS-III,17,F,0
24,21JD1A0305,R2021032,FLUID MECHANICS & HYDRAULIC MACHINES,16,F,0
25,21JD1A0305,R2021033,PRODUCTION TECHNOLOGY,17,F,0
26,21JD1A0310,R2021011,MATHEMATICS-III,16,F,0
27,21JD1A0310,R2021031,MECHANICS OF SOLIDS,16,F,0
28,21JD1A0310,R2021032,FLUID MECHANICS & HYDRAULIC MACHINES,18,F,0
29,21JD1A0310,R2021033,PRODUCTION TECHNOLOGY,16,F,0
30,21JD1A0310,R2021034,KINEMATICS OF MACHINERY,17,F,0
31,21JD1A0311,R2021011,MATHEMATICS-III,20,F,0
32,21JD1A0311,R2021031,MECHANICS OF SOLIDS,16,E,3
33,21JD1A0402,R2021011,MATHEMATICS-III,13,F,0
34,21JD1A0402,R2021042,SWITCHING THEORY AND LOGIC DESIGN,18,F,0
35,21JD1A0402,R2021043,SIGNALS AND SYSTEMS,10,F,0
36,21JD1A0408,R2021043,SIGNALS AND SYSTEMS,18,F,0
37,21JD1A0412,R2021011,MATHEMATICS-III,16,F,0
